Sample5;;Sample5;;Sample5;;Sample5;
Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs;Wavelength (nm);Abs
;;;;;;;
;;;;;;;
574.94312;-0.01076;574.94312;-0.01092;574.94312;-0.01057;574.94312;-0.01041
574.05048;-0.0109;574.05048;-0.01096;574.05048;-0.01086;574.05048;-0.0107
573.00879;-0.01085;573.00879;-0.01115;573.00879;-0.01086;573.00879;-0.01067
571.9668;-0.01067;571.9668;-0.01099;571.9668;-0.01081;571.9668;-0.0105
571.07349;-0.0106;571.07349;-0.01089;571.07349;-0.01077;571.07349;-0.01051
570.03101;-0.01048;570.03101;-0.01098;570.03101;-0.01082;570.03101;-0.0104
568.98822;-0.01019;568.98822;-0.0109;568.98822;-0.01081;568.98822;-0.01034
567.94525;-0.01028;567.94525;-0.01108;567.94525;-0.01094;567.94525;-0.01032
567.05103;-0.01026;567.05103;-0.01078;567.05103;-0.01089;567.05103;-0.01045
566.00751;-0.01022;566.00751;-0.01079;566.00751;-0.01102;566.00751;-0.01074
564.96375;-0.01023;564.96375;-0.01094;564.96375;-0.01118;564.96375;-0.01071
564.06885;-0.00994;564.06885;-0.01069;564.06885;-0.01089;564.06885;-0.01059
563.0246;-0.01005;563.0246;-0.01091;563.0246;-0.01091;563.0246;-0.01057
561.98004;-0.01005;561.98004;-0.01115;561.98004;-0.011;561.98004;-0.01074
560.93524;-0.00989;560.93524;-0.01084;560.93524;-0.01099;560.93524;-0.01063
560.03949;-0.00988;560.03949;-0.01095;560.03949;-0.01089;560.03949;-0.01069
558.9942;-0.0099;558.9942;-0.01101;558.9942;-0.01075;558.9942;-0.01083
557.94867;-0.00973;557.94867;-0.01107;557.94867;-0.01065;557.94867;-0.01082
557.05225;-0.00986;557.05225;-0.01109;557.05225;-0.0107;557.05225;-0.01098
556.00623;-0.00993;556.00623;-0.01109;556.00623;-0.01073;556.00623;-0.01102
554.9599;-0.00953;554.9599;-0.01112;554.9599;-0.01063;554.9599;-0.01097
554.06287;-0.0098;554.06287;-0.01114;554.06287;-0.01079;554.06287;-0.01099
553.01605;-0.00984;553.01605;-0.01124;553.01605;-0.01095;553.01605;-0.01118
551.96899;-0.00977;551.96899;-0.01114;551.96899;-0.01058;551.96899;-0.01101
551.07129;-0.0098;551.07129;-0.011;551.07129;-0.01051;551.07129;-0.01094
550.02374;-0.00987;550.02374;-0.0111;550.02374;-0.01054;550.02374;-0.01087
548.97595;-0.01002;548.97595;-0.0111;548.97595;-0.01079;548.97595;-0.01105
547.92792;-0.01024;547.92792;-0.01094;547.92792;-0.01085;547.92792;-0.01116
547.02936;-0.01015;547.02936;-0.01081;547.02936;-0.01069;547.02936;-0.01102
545.98083;-0.01028;545.98083;-0.01086;545.98083;-0.01061;545.98083;-0.01108
544.93201;-0.01006;544.93201;-0.0108;544.93201;-0.01083;544.93201;-0.01118
544.03284;-0.01031;544.03284;-0.01055;544.03284;-0.01101;544.03284;-0.01116
542.98358;-0.01034;542.98358;-0.01019;542.98358;-0.01092;542.98358;-0.01103
541.93402;-0.01013;541.93402;-0.01003;541.93402;-0.01098;541.93402;-0.01112
541.03424;-0.01016;541.03424;-0.00996;541.03424;-0.01094;541.03424;-0.01104
539.98425;-0.0099;539.98425;-0.00967;539.98425;-0.01087;539.98425;-0.01105
538.93396;-0.01026;538.93396;-0.00999;538.93396;-0.01103;538.93396;-0.01111
538.03351;-0.01023;538.03351;-0.00995;538.03351;-0.01122;538.03351;-0.01123
536.98279;-0.01029;536.98279;-0.00983;536.98279;-0.01122;536.98279;-0.01123
535.93182;-0.01008;535.93182;-0.0098;535.93182;-0.01113;535.93182;-0.01103
535.03076;-0.01029;535.03076;-0.01019;535.03076;-0.0112;535.03076;-0.01131
533.97931;-0.01024;533.97931;-0.01004;533.97931;-0.01132;533.97931;-0.01138
532.92761;-0.01004;532.92761;-0.00997;532.92761;-0.0112;532.92761;-0.01119
532.02594;-0.01013;532.02594;-0.01015;532.02594;-0.0112;532.02594;-0.01112
530.97375;-0.01033;530.97375;-0.01047;530.97375;-0.01134;530.97375;-0.01127
530.07166;-0.01033;530.07166;-0.01049;530.07166;-0.01135;530.07166;-0.01149
529.01904;-0.01046;529.01904;-0.01069;529.01904;-0.01144;529.01904;-0.01138
527.96613;-0.01011;527.96613;-0.01028;527.96613;-0.011;527.96613;-0.01094
527.06348;-0.01051;527.06348;-0.0107;527.06348;-0.01133;527.06348;-0.01117
526.01013;-0.01063;526.01013;-0.01089;526.01013;-0.01143;526.01013;-0.01125
524.95648;-0.01081;524.95648;-0.01096;524.95648;-0.01134;524.95648;-0.01126
524.05322;-0.01089;524.05322;-0.01122;524.05322;-0.01143;524.05322;-0.01141
522.99915;-0.01102;522.99915;-0.01145;522.99915;-0.01149;522.99915;-0.01152
521.94482;-0.01115;521.94482;-0.01145;521.94482;-0.01141;521.94482;-0.01136
